Name,Tc (K),Source,Page
DyCo2,140.0,4 V12,331
DyCo2,159.0,2,7
DyCo2,138.0,3,NA
DyCo2,137.0,4 V8,68
DyCo2,140.0,3,NA
DyCo2H3.3,40.0,4 V6,556
DyCo3,452.0,4 V6,556
DyCo3,440.0,4 V8,118
DyCo3,450.0,4 V6,368
DyCo3,450.0,2,7
DyCo3,450.0,3,NA
DyCo3H4.3,18.0,4 V6,556
DyCo4B,427.0,4 V6,51
DyCo5,1125.0,2,7
DyCo5,966.0,2,7
DyCo5,998.0,3,NA
DyCo5,966.0,3,NA
DyCo5,966.0,3,NA
DyCo5.2,970.0,4 V8,75
DyCoAl,47.0,4 V6,101
DyCr4Al8,16.0,4 V6,37
DyCr6Al6,20.0,4 V6,36
DyCu4Al8,17.0,4 V6,37
DyCu6Al6,3.9,4 V6,36
DyCuAl,35.0,4 V6,101
DyFe10CoTi,636.0,4 V6,9
DyFe10Cr2,495.0,4 V6,11
DyFe10Mo1.5,415.0,4 V6,12
DyFe10Mo2,365.0,4 V6,11
DyFe10Si2,566.0,4 V6,10
DyFe10Si2C0.3,10.2,4 V9,360
DyFe10V2,540.0,4 V6,10
DyFe11Ti,534.0,4 V6,9
DyFe11Ti,534.0,4 V9,357
DyFe11TiN,760.0,4 V9,358
DyFe2,635.0,1,405
DyFe2,663.0,2,7
DyFe2,630.0,3,NA
DyFe2,635.0,3,NA
DyFe2,635.0,2,7
DyFe2,638.0,4 V6,368
DyFe2,635.0,4 V6,546
DyFe2,638.0,2,7
DyFe2,624.0,4 V8,68
DyFe2,637.0,3,NA
DyFe2,635.0,4 V5,102
DyFe2Co2B,650.0,4 V6,51
DyFe2Co9Ti,1095.0,4 V6,9
DyFe2H3.5,300.0,4 V6,546
DyFe3,600.0,3,NA
DyFe3,605.0,2,7
DyFe3,673.0,3,NA
DyFe3,673.0,3,NA
DyFe3,673.0,3,NA
DyFe3,605.0,3,NA
DyFe3,602.0,4 V6,546
DyFe3,600.0,4 V6,368
DyFe3,600.0,2,7
DyFe4Al8,122.0,4 V6,37
DyFe5Al7,227.0,4 V6,36
DyFe5Co6Ti,1022.0,4 V6,9
DyFe6Al6,325.0,4 V6,36
DyFe8Co3Ti,820.0,4 V6,9
DyFeAl,125.0,4 V6,101
DyFeAl,144.5,4 V6,101
DyGa,116.0,3,NA
DyGa,116.0,3,NA
DyGa,116.0,3,NA
DyIr2,23.0,2,7
DyMn2,41.0,4 V6,538
DyMn2,45.0,3,NA
DyMn2Ge2,40.0,4 V6,141
DyMn2Ge2,47.0,4 V6,141
DyMn2Si2,55.0,4 V6,141
DyMn4Al8,19.0,4 V6,38
DyMn5,430.0,2,7
DyMn6Al6,6.0,4 V6,36
DyN,26.0,3,NA
DyN,26.0,2,7
DyN,17.6,2,7
DyN,22.0,2,7
DyN,21.0,2,7
DyNi,48.0,2,7
DyNi,64.0,3,NA
DyNi0.2Al1.8,83.0,2,7
DyNi1.84Al0.16,42.0,2,7
DyNi2,22.0,3,NA
DyNi2,25.0,3,NA
DyNi2,30.0,2,7
DyNi2,30.0,3,NA
DyNi2,20.0,4 V12,467
DyNi2,30.0,2,14
DyNi2,27.0,1,405
DyNi2,22.0,4 V9,119
DyNi2,32.0,2,7
DyNi2,33.0,3,NA
DyNi3,69.0,4 V6,368
DyNi3,69.0,2,7
DyNi5,11.6,3,NA
DyNi5,12.0,3,NA
DyNi5,11.6,3,NA
DyNi5,15.0,2,7
DyNi5,12.0,4 V7,450
DyNi5,30.0,2,14
DyNi5,17.0,3,NA
DyNiAl,47.0,4 V6,100
DyNiAl,39.0,4 V6,100
DyNiAl,29.0,4 V12,467
DyOs2,15.0,2,7
DyOs2,16.0,3,NA
DyPd2Si,9.0,4 V6,118
DyPt,23.0,3,NA
DyPt2,14.0,2,7
DyPt2,4.2,2,7
DyPt2Si2,3.0,4 V6,153
DyRh,3.8,3,NA
DyRh2,26.0,2,7
DyRh3Si2,29.0,4 V6,89
DyRhSi,25.0,4 V6,103
DyRu2,30.0,3,NA
DyZn,144.0,2,7
DyZn,139.0,4 V5,86
Er,20.0,2,7
Er,18.2,2,7
Er,19.0,2,7
Er,19.6,2,7
Er,20.0,2,7
Er0.20Dy0.80,40.0,2,8
Er0.20Tb0.80,150.0,2,8
Er0.50Ho0.50,33.0,2,8
Er0.5Sm0.5Fe11Ti,533.0,4 V6,9
Er0.5Sm0.5Fe8Co3Ti,823.0,4 V6,9
Er0.7Fe0.3,35.0,4 V12,507
Er0.90Tb0.10,25.0,2,8
Er0.95Ho0.50,21.0,2,8
Er0.9Co5.2,1123.0,3,NA
Er1.2Cd,14.0,2,7
Er2Co12P7,146.0,4 V6,70
Er2Co17,1186.0,2,8
Er2Co17,1160.0,2,8
Er2Co17,1193.0,2,8
Er2Co7,670.0,2,8
Er2Co7,644.0,2,8
Er2CrSbO7,10.0,2,8
Er2Fe14B,550.0,4 V6,545
Er2Fe14B,551.0,4 V10,506
Er2Fe14B,557.0,4 V4,20
Er2Fe14BH3.7,588.0,4 V6,545
Er2Fe14C,505.0,4 V4,26
Er2Fe14C,510.0,4 V10,530
Er2Fe14C,510.0,4 V6,60
Er2Fe17,297.0,3,NA
Er2Fe17,296.0,4 V9,319
Er2Fe17,310.0,2,8
Er2Fe17,300.0,3,NA
Er2Fe17,310.0,4 V7,461
Er2Fe17,298.5,2,8
Er2Fe17,293.0,2,8
Er2Fe17,310.0,4 V7,382
Er2Fe17,310.0,4 V8,142
Er2Fe17C,488.0,4 V9,322
Er2Fe17C,488.0,4 V6,48
Er2Fe17C1.0,488.0,4 V8,142
Er2Fe17C2.4,708.0,4 V9,319
Er2Fe17C2.5,671.0,4 V9,319
Er2Fe17N2.5,690.0,4 V9,319
Er2Fe17N2.7,697.0,4 V6,48
Er2Fe17N2.7,697.0,4 V9,319
Er2Ni17,166.0,2,8
Er2Ni17,602.0,2,8
Er2Ni7,67.0,2,8
Er2Ni7,74.0,3,NA
Er3AlC,2.8,4 V12,462
Er3AlC,5.5,4 V12,462
Er3AlFe4O12,420.0,2,7
Er3Co,7.0,3,NA
Er3Co,7.0,2,8
Er3Cr0.25Fe4.75O12,520.0,2,8
Er3Fe5O12,551.4,2,8
Er3Fe5O12,542.0,2,8
Er3Fe5O12,556.0,2,8
Er3Fe5O12,556.0,2,8
Er3In,51.0,3,NA
Er3Pd2,18.0,3,NA
Er3Rh2,8.0,3,NA
Er3Rh2,8.0,3,NA
Er4Co3,25.0,2,8
Er5Ni3,35.0,3,NA
Er5Si4,25.0,2,8
Er6Fe23,493.0,3,NA
Er6Fe23,503.0,3,NA
Er6Fe23,503.0,3,NA
Er6Fe23,491.0,2,8
Er6Fe23,495.0,2,8
Er6Fe23,493.0,4 V6,546
Er6Mn23,415.0,2,8
Er6Mn23,415.0,4 V6,538
Er6Mn23H23,4.2,4 V6,538
Er6Mn23H23,85.0,4 V6,538
Er80Th20,48.0,2,8
Er90Th10,74.0,2,8
Er95Th5,80.0,2,8
ErAl2,13.0,2,7
ErAl2,24.0,2,7
ErAl2,12.0,2,7
ErAl2,14.0,2,7
ErAl2,13.0,4 V12,461
ErAl2,24.0,3,NA
ErAl2,21.0,2,7
ErAl2,11.7,4 V12,461
ErAl2,12.0,3,NA
ErAl2,14.0,4 V5,99
ErAl2,12.6,3,NA
ErAl2,13.5,3,NA
ErAl2,14.0,4 V9,115
ErAl2,12.0,3,NA
ErAl2,14.5,2,7
ErAl2.20,11.0,4 V12,462
ErAlGa,3.0,4 V12,462
ErAu2Si2,40.0,4 V6,127
ErAu4,5.0,2,7
ErAuNi4,24.0,4 V6,71
ErC,50.0,2,7
ErCd,3.3,4 V5,88
ErCd,3.3,4 V10,274
ErCo11Ti,1066.0,4 V6,9
ErCo12B6,145.0,4 V4,33
ErCo2,36.0,2,7
ErCo2,40.0,3,NA
ErCo2,39.0,2,7
ErCo2,35.0,2,7
ErCo2,35.0,2,7
ErCo2,35.0,4 V6,556
ErCo2,39.0,1,405
ErCo2,36.0,2,7
ErCo2,31.0,4 V8,68
ErCo2,32.6,4 V12,347
ErCo2,38.0,3,NA
ErCo2,38.0,3,NA
ErCo2,40.0,3,NA
ErCo2H3.5,25.0,4 V6,556
ErCo3,401.0,2,8
ErCo3,401.0,3,NA
ErCo3,401.0,4 V6,556
ErCo3,430.0,4 V8,118
ErCo3B2,20.0,4 V4,33
ErCo4B,386.0,4 V6,51
ErCo4B,386.0,4 V4,33
ErCo5,1050.0,2,8
ErCo5,1066.0,3,NA
ErCo5,986.0,2,8
ErCo6,1050.0,2,8
ErCoAl,25.0,4 V6,101
ErCr4Al8,14.0,4 V6,37
ErCr6Al6,15.0,4 V6,36
ErCu4Al8,6.0,4 V6,37
ErCu6Al6,2.6,4 V6,36
ErCuAl,17.0,4 V6,101
ErFe10.8Ti1.2,500.0,4 V6,9
ErFe10Cr2,475.0,4 V6,11
ErFe10Mo1.5,381.0,4 V6,12
ErFe10Mo2,310.0,4 V6,11
ErFe10Si2,550.0,4 V6,10
ErFe10Si2C0.3,585.0,4 V9,360
ErFe10V2,505.0,4 V6,10
ErFe11Ti,505.0,4 V6,9
ErFe11Ti,505.0,4 V9,358
ErFe2,587.0,1,405
ErFe2,577.0,4 V8,68
ErFe2,590.0,4 V6,547
ErFe2,473.0,2,8
ErFe2,590.0,4 V5,102
ErFe2,606.0,3,NA
ErFe2,573.0,3,NA
ErFe2,596.0,3,NA
ErFe2,575.0,4 V12,472
ErFe2,574.0,3,NA
ErFe2,587.0,2,8
ErFe2,596.0,2,8
ErFe2,590.0,2,8
ErFe2,575.0,4 V6,368
ErFe2H3.5,265.0,4 V6,547
ErFe2H3.5,450.0,4 V6,547
ErFe2H3.7,300.0,4 V6,547
ErFe2H4,4.0,4 V6,547
ErFe2H4.12,4.2,4 V6,547
ErFe3,550.0,2,8
ErFe3,552.0,4 V6,546
ErFe3,455.0,2,8
ErFe4Al8,183.0,4 V6,37
ErFe4B,620.0,4 V4,31
ErFe4B,620.0,4 V6,51
ErFe5Al7,218.0,4 V6,36
ErFe6Al6,320.0,4 V6,36
ErFe8Co3Ti,796.0,4 V6,9
ErFeAl,56.0,4 V6,101
ErGa,32.0,3,NA
ErGa,32.0,3,NA
ErIr2,3.0,2,8
ErMn2,25.0,3,NA
ErMn2,25.0,4 V6,538
ErMn2,20.0,3,NA
ErMn2Ge2,5.1,4 V6,141
ErMn2Ge2,4.2,4 V6,141
ErMn2H4,4.2,4 V6,538
ErMn2H4.6,1.5,4 V6,538
ErMn2Si2,5.0,4 V6,141
ErMn4Al8,15.0,4 V6,38
ErMn5,415.0,2,8
ErMn6Al6,2.6,4 V6,36
ErN,6.0,2,8
ErN,5.0,2,8
ErN,5.0,3,NA
ErN,3.4,2,8
ErNi,13.0,3,NA
ErNi,10.0,4 V12,467
ErNi,10.0,2,8
ErNi,10.5,3,NA
ErNi0.03Al1.97,22.0,2,8
ErNi0.10Al1.90,33.0,2,8
ErNi0.10Al1.90,33.0,2,8
ErNi0.16Al1.84,31.0,2,8
ErNi0.24Al1.76,27.0,2,8
ErNi0.24Al1.76,25.0,2,8
ErNi0.24Al1.76,27.0,2,8
ErNi0.30Al1.70,23.5,2,8
ErNi0.30Al1.70,28.5,2,8
ErNi0.30Al1.70,29.0,2,8
ErNi0.90Al1.10,16.0,2,8
ErNi1.83Al0.17,30.0,2,8
ErNi2,19.0,1,405
ErNi2,21.0,2,8
ErNi2,14.0,2,8
ErNi2,6.6,4 V12,467
ErNi2,7.0,3,NA
ErNi2,6.0,4 V12,467
ErNi3,62.0,2,8
ErNi3,66.0,3,NA
ErNi5,12.0,3,NA
ErNi5,8.0,3,NA
ErNi5,13.0,3,NA
ErNi5,9.0,4 V7,450
ErNi5,13.0,2,8
ErNi5,9.2,3,NA
ErNi5,9.2,3,NA
ErNi5,9.2,4 V9,136
ErNiAl,15.0,4 V6,100
ErNiAl,16.0,4 V6,100
ErOs2,3.0,2,8
ErOs2,3.4,3,NA
ErPd2Ge,3.0,4 V6,118
ErPd2Si,2.8,4 V6,118
ErPt,16.0,3,NA
ErPt2,4.2,2,8
ErPt2,3.0,2,8
ErPt2Si2,3.0,4 V6,153
ErRh2,6.0,2,8
ErRh3Si2,24.0,4 V6,89
ErRh4B4,0.9,4 V9,172
ErRu2,8.0,3,NA
ErRu2,8.0,2,8
ErSi2,4.3,3,NA
ErZn,50.0,2,8
ErZn,20.0,4 V5,86
Eu(NH2)2,5.4,2,9
Eu0.1La0.9Al2,11.0,2,8
Eu0.45Ca0.55O,44.0,2,8
Eu0.4La0.6Al2,4.0,2,8
Eu0.5Yb0.5,30.0,3,NA
Eu0.5Yb0.5,22.4,3,NA
Eu0.5Yb0.5,25.0,3,NA
Eu0.5Yb0.5,26.0,3,NA
Eu0.5Yb0.5,26.7,3,NA
Eu0.96Gd0.04O,128.0,2,8
Eu0.96Gd0.04O,137.0,2,8
Eu2Co12P7,151.0,4 V6,70
Eu2CrSbO7,4.0,2,8
Eu2IrH5,20.0,4 V6,564
Eu2SiO4,7.0,2,9
Eu3(PO4)2,5.0,2,9
Eu3Al2O6,10.0,2,8
Eu3As2,18.0,2,8
Eu3Fe5O12,563.0,2,8
Eu3Fe5O12,566.0,2,8
Eu3O4,77.0,2,9
Eu3O4,7.8,2,9
Eu3P2,25.0,2,9
Eu3S4,3.8,3,NA
Eu3S4,3.8,3,NA
Eu3SiO5,19.0,2,9
Eu4As3,17.5,3,NA
Eu4As3,18.0,3,NA
Eu4P2.67,25.0,3,NA
Eu5Al2O8,6.0,2,8
EuAg0.67Si1.33,34.0,4 V6,101
EuAl4,14.0,2,8
EuAu2Si2,15.5,4 V6,127
EuB6,13.9,3,NA
EuB6,12.5,3,NA
EuB6,8.5,2,8
EuB6,12.5,3,NA
EuB6,15.2,3,NA
EuB6,8.4,3,NA
EuB6,13.7,3,NA
EuB6,13.0,3,NA
EuB6,10.0,3,NA
EuB6,13.7,3,NA
EuC2,22.0,3,NA
EuFe2P2,27.0,4 V6,152
EuFe4Al8,137.0,4 V6,37
EuFe6Al6,135.0,4 V6,36
EuGd2S4,6.0,2,8
EuH2,24.0,2,8
EuH2,17.8,2,8
EuH2,18.3,3,NA
EuI2,5.0,2,8
EuLiH3,38.0,2,8
EuLu2O4,9.5,2,9
EuLu2O4,7.5,2,9
EuMn2Ge2,9.0,4 V6,141
EuMn4Al8,20.0,4 V6,38
EuNb2S4,15.0,2,9
EuNi2,139.0,3,NA
EuNi2,139.0,3,NA
EuO,77.0,2,9
EuO,67.0,3,NA
EuO,69.3,1,411
EuO,69.5,3,NA
EuO,69.4,2,9
EuO,70.0,3,NA
EuO,69.2,2,9
EuO,69.005,3,NA
EuO,69.0,2,9
EuO,69.5,2,9
EuO,69.15,3,NA
EuO,69.0,1,376
EuO,70.0,3,NA
EuO,127.0,3,NA
EuO,69.33,4 V5,176
EuO,69.0,2,9
EuO,69.594,2,9
EuO,69.6,3,NA
EuO,74.0,2,9
EuO,69.0,3,NA
EuO,76.0,2,9
EuO,72.0,2,9
EuO,71.0,2,9
EuO,77.0,2,9
EuO,69.29,3,NA
EuO,70.0,2,9
EuO,69.3,3,NA
EuO0.9F0.1,66.0,2,9
EuPd,48.0,4 V6,564
EuPd2,80.0,3,NA
EuPd2,105.0,3,NA
EuPd2,80.0,2,9
EuPt2,80.0,3,NA
EuPt2,105.0,2,9
EuRu2Ge2,62.0,4 V6,128
EuS,16.2,2,9
EuS,14.5,2,9
EuS,16.5,3,NA
EuS,16.5,3,NA
EuS,16.0,2,9
EuS,16.0,2,9
EuS,15.8,2,9
EuS,16.5,2,9
EuS,16.5,2,9
EuS,16.3,2,9
EuS,16.4,2,9
EuS,16.4,2,9
EuS,16.5,1,411
EuS,16.7,3,NA
EuS,16.6,3,NA
EuS,16.57,4 V5,176
EuS,16.5,2,9
EuS,16.5,2,9
EuS,15.8,3,NA
EuS,16.71,3,NA
EuS,18.0,2,9
EuS,16.57,3,NA
EuS,16.5,3,NA
EuSe,4.6,2,9
EuSe,2.8,2,9
EuSe,3.8,2,9
EuSe,4.58,2,9
EuSe,6.0,2,9
EuSe,7.0,2,9
EuSe,1.6,2,9
EuY2Fe5O12,556.0,2,9
Fe,1043.0,2,10
Fe,1044.0,1,150
Fe,1044.0,2,10
Fe,1044.0,1,377
Fe,1040.0,4 V6,22
Fe,1041.0,2,10
Fe,1040.0,2,10
Fe,1035.0,2,10
Fe,1043.0,4 V7,338
Fe,1040.2,2,10
Fe,1040.0,4 V6,393
Fe0.013Pd0.987,55.0,2,12
Fe0.2Ni0.8,843.0,1,375
Fe0.43Co0.57Ti,33.9,4 V4,239
Fe0.49Rh0.51,667.0,2,12
Fe0.4Co0.6Ti,13.9,4 V4,239
Fe0.4Ni0.4B0.2,535.0,1,375
Fe0.54V0.46,100.0,2,13
Fe0.54V0.46,165.0,2,13
Fe0.5Co0.5Ti,55.0,4 V4,239
Fe0.5Cu0.5Cr2S4,360.0,2,10
Fe0.5Cu0.5Cr2S4,355.0,2,10
Fe0.5Ni0.5,500.0,3,NA
Fe0.5Ni0.5,785.0,3,NA
Fe0.5Ni0.5,870.0,3,NA
Fe0.5Ni0.5,900.0,3,NA
Fe0.5Ni0.5,820.0,3,NA
Fe0.5Ni0.5,375.0,3,NA
Fe0.5Ni0.5,785.0,3,NA
Fe0.5Ni0.5,686.0,3,NA
Fe0.5Ni0.5,368.0,3,NA
Fe0.5Ni0.5,850.0,3,NA
Fe0.5Ni0.5,550.0,3,NA
Fe0.5Ni0.5,820.0,3,NA
Fe0.5Ni0.5,815.0,3,NA
Fe0.5Ni0.5,550.0,3,NA
Fe0.5Ni0.5,500.0,3,NA
Fe0.5Ni0.5,508.0,3,NA
Fe0.5Ni0.5,499.0,3,NA
Fe0.5Ni0.5,863.0,3,NA
Fe0.5Ni0.5,750.0,3,NA
Fe0.5Ni0.5,790.0,2,11
Fe0.5Ni0.5,520.0,3,NA
Fe0.5Ni0.5,865.0,3,NA
Fe0.5Pd0.5,300.0,3,NA
Fe0.5Pd0.5,300.0,3,NA
Fe0.5Pd0.5,300.0,3,NA
Fe0.5Pd0.5,5.0,3,NA
Fe0.5Pd0.5,30.0,3,NA
Fe0.5Pd0.5,9.6,3,NA
Fe0.5Pd0.5,1.95,3,NA
Fe0.5Pd0.5,533.0,3,NA
Fe0.5Pd0.5,1.95,3,NA
Fe0.5Pd0.5,150.0,3,NA
Fe0.5Pd0.5,623.0,3,NA
Fe0.5Pd0.5,2.5,3,NA
Fe0.5Pd0.5,623.0,3,NA
Fe0.5Pd0.5,55.6,3,NA
Fe0.5Pd0.5,533.0,3,NA
Fe0.5Pd0.5,55.6,3,NA
Fe0.5Pd0.5,35.0,3,NA
Fe0.5Pd0.5,760.0,3,NA
Fe0.5Pd0.5,20.0,3,NA
Fe0.5Pt0.5,441.0,3,NA
Fe0.5Pt0.5,363.0,3,NA
Fe0.5Pt0.5,359.0,3,NA
Fe0.5Pt0.5,170.0,3,NA
Fe0.5Pt0.5,409.0,3,NA
Fe0.5Pt0.5,170.0,3,NA
Fe0.65Co0.35,1210.0,1,375
Fe0.65Co0.35,1210.0,1,385
Fe0.67Co0.33Ti,39.2,4 V4,239
Fe0.67Mn1.28As,153.0,2,10
Fe0.69Ga0.31,620.0,2,10
Fe0.758Mg0.242SiO3,11.0,2,10
Fe0.75Ga0.25,760.0,2,10
Fe0.75Ni2.25P,120.0,2,11
Fe0.76Mn1.19As,127.0,2,10
Fe0.78Co0.22Ti,8.4,4 V4,239
Fe0.7Ni0.3,340.0,2,11
Fe0.82Ga0.18O3,208.0,2,10
Fe0.855Al0.045Zr0.1,286.0,4 V12,507
Fe0.855Ga0.045Zr0.1,315.0,4 V12,507
Fe0.855Ge0.045Zr0.1,310.0,4 V12,507
Fe0.855Si0.045Zr0.1,303.0,4 V12,507
Fe0.855Sn0.045Zr0.1,315.0,4 V12,507
Fe0.85Ge0.15,800.0,3,NA
Fe0.85Ge0.15,800.0,3,NA
Fe0.85Ge0.15,800.0,3,NA
Fe0.866Mg0.134SiO3,18.0,2,10
Fe0.86Se,450.0,3,NA
Fe0.86Se,450.0,3,NA
Fe0.86Se,443.0,3,NA
Fe0.873Ni0.027Zr0.1,288.0,4 V12,507
Fe0.87S,593.0,2,12
Fe0.882Ni0.018Zr0.1,275.0,4 V12,507
Fe0.891Ni0.009Zr0.1,255.0,4 V12,507
Fe0.89Se,320.0,3,NA
Fe0.902S,530.0,2,12
Fe0.91B0.09,878.0,3,NA
Fe0.91B0.09,916.0,3,NA
Fe0.91B0.09,964.0,3,NA
Fe0.91B0.09,944.0,3,NA
Fe0.91B0.09,978.0,3,NA
Fe0.93Ga0.07O3,262.0,2,10
Fe0.9Mn0.9Ge,241.0,2,10
Fe0.9Zr0.1,237.0,4 V12,507
Fe1.11Te,479.0,2,13
Fe1.22Sb,4.2,2,12
Fe1.2Co0.8,1200.0,2,10
Fe1.3Sn,676.0,2,12
Fe1.4Ga0.6O3,350.0,2,10
Fe1.4Ge0.3Cu1.3O4,700.0,2,10
Fe1.58Ge,470.0,2,10
Fe1.5Cr1.5S4,302.0,2,10
Fe1.5Ge,444.0,2,10
Fe1.5Mn1.5Ge,333.0,2,10
Fe1.65Ge,470.0,2,10
Fe1.6Ge0.2Cu1.2O4,700.0,2,10
Fe1.6Sn,583.0,2,12
Fe1.75Ge,510.0,3,NA
Fe1.75Ge,510.0,3,NA
Fe1.7Co0.3P,423.0,2,10
Fe1.8Cr1.2O4,273.0,2,10
Fe1.8Ge0.1Cu1.1O4,709.0,2,10
Fe1.91P,223.0,2,11
Fe1.9Ge0.05Cu1.05O4,719.0,2,10
Fe1.9Ni0.1P,343.0,2,11
Fe2(Zr0.7Nb0.3),380.0,4 V5,283
Fe2.027Ti0.973,70.0,2,13
Fe2.0671Ti0.9329,318.0,2,13
Fe2.4Co0.6P,670.0,2,10
Fe2.4Mn0.6P,680.0,2,11
Fe2.67O4,850.0,3,NA
Fe2.6Cr0.4O4,763.0,2,10
Fe21Mo2C6,492.0,4 V4,557
Fe21W2C6,1006.0,4 V4,557
Fe23C3B3,742.0,4 V4,557
Fe2AlO4,590.0,4 V8,212
Fe2B,1013.0,4 V6,216
Fe2CrAl,246.0,4 V4,288
Fe2CrO4,430.0,4 V8,212
Fe2GaO4,473.0,4 V8,212
Fe2Ge,478.0,2,10
Fe2MgO4,653.0,2,10
Fe2MnGe,433.0,2,10
Fe2MnSi,214.0,4 V4,288
Fe2O3,975.0,3,NA
Fe2O3,1003.0,3,NA
Fe2O3,975.0,3,NA
Fe2O3,985.0,1,423
Fe2O3,1020.0,4 V8,212
Fe2O3,743.0,2,11
Fe2O3,963.0,2,11
Fe2O3,959.0,2,11
Fe2O3,956.0,2,11
Fe2O3,950.0,2,11
Fe2O3,948.0,2,11
Fe2O3,985.0,1,376
Fe2O3,848.0,2,11
Fe2O3,483.0,2,11
Fe2P,278.0,2,11
Fe2P,306.0,2,11
Fe2P,225.0,2,11
Fe2P,226.0,3,NA
Fe2P,266.0,3,NA
Fe2P,208.6,3,NA
Fe2P,267.0,2,11
Fe2P,195.0,3,NA
Fe2P,223.0,3,NA
Fe2P,170.0,3,NA
Fe2P,208.6,3,NA
Fe2P,210.0,3,NA
Fe2P,205.0,3,NA
Fe2P,213.0,3,NA
Fe2P,216.0,3,NA
Fe2P,216.0,3,NA
Fe2P,214.5,3,NA
Fe2P,216.0,3,NA
Fe2P,306.0,3,NA
Fe2P,224.0,3,NA
Fe2P,216.0,3,NA
Fe2P,216.0,4 V6,227
Fe2P,217.0,4 V6,231
Fe2P0.4As0.6,470.0,4 V6,231
Fe2P0.7As0.3,443.0,4 V6,231
Fe2P0.80B0.20,512.0,2,11
Fe2P0.8As0.2,411.0,4 V6,231
Fe2P0.90B0.10,391.0,2,11
Fe2P0.92B0.08,450.0,4 V6,231
Fe2P0.95B0.05,291.0,2,11
Fe2P0.96B0.04,350.0,4 V6,231
Fe2P0.9As0.1,358.0,4 V6,231
Fe2P0.9Si0.1,370.0,4 V6,231
Fe2Te3,10.0,4 V6,260
Fe2TiAl,123.0,4 V4,288
Fe2TiO4,853.0,2,13
Fe2TiO4,142.0,2,13
Fe2TiO4,120.0,4 V8,213
Fe2VO4,440.0,2,13
Fe2VO4,450.0,4 V8,213
Fe2VSn,200.0,4 V4,288
Fe3Al,573.0,3,NA
Fe3Al,773.0,2,10
Fe3Al,543.0,3,NA
Fe3Al,400.0,3,NA
Fe3Al,743.0,3,NA
Fe3Al,755.0,3,NA
Fe3Al,400.0,3,NA
Fe3B,897.0,3,NA
Fe3B,897.0,3,NA
Fe3B,770.0,3,NA
Fe3BO6,508.0,2,10
Fe3C,483.0,2,10
Fe3C,487.0,3,NA
Fe3C,487.0,3,NA
Fe3C,485.0,3,NA
Fe3C,487.0,3,NA
Fe3Cr,1273.0,2,10
Fe3Cr,893.0,2,10
Fe3Ge,638.0,3,NA
Fe3Ge,615.0,3,NA
Fe3Ge,655.0,2,10
Fe3Ge,761.0,2,10
Fe3Ge,634.0,3,NA
Fe3Ge,740.0,3,NA
Fe3Ge,638.0,2,10
Fe3Ge,640.0,4 V6,265
Fe3Ge,740.0,4 V6,265
Fe3Ge,755.0,2,10
Fe3O4,860.0,4 V8,212
Fe3O4,860.0,1,423
Fe3O4,860.0,3,NA
Fe3O4,853.5,3,NA
Fe3O4,849.38,3,NA
Fe3O4,853.0,2,10
Fe3O4,848.0,3,NA
Fe3O4,848.0,3,NA
Fe3O4,858.0,3,NA
Fe3O4,848.0,2,11
Fe3O4,860.0,1,376
Fe3O4,858.0,2,11
Fe3O4,860.0,1,377
Fe3O4,858.0,2,11
Fe3P,716.0,3,NA
Fe3P,716.0,2,11
Fe3P,716.0,4 V6,265
Fe3P,716.0,3,NA
Fe3P,686.0,2,11
Fe3P0.20B0.80,806.0,2,12
Fe3P0.70B0.30,758.0,2,11
Fe3Pd,463.0,3,NA
Fe3Pd,463.0,3,NA
Fe3Pt,421.3,3,NA
Fe3Pt,303.0,3,NA
Fe3Pt,528.0,3,NA
Fe3Pt,453.0,2,12
Fe3Pt,446.9,3,NA
Fe3Pt,473.0,3,NA
Fe3Pt,450.0,3,NA
Fe3S4,580.0,2,12
Fe3S4,570.0,3,NA
Fe3Se4,318.0,2,12
Fe3Se4,353.0,3,NA
Fe3Se4,290.0,3,NA
Fe3Se4,320.0,2,12
Fe3Se4,320.0,3,NA
Fe3Si,808.0,2,12
Fe3Si,803.0,3,NA
Fe3Si,830.0,3,NA
Fe3Si,840.0,3,NA
Fe3Si,810.0,4 V6,265
Fe3Sn,743.0,2,12
Fe3Sn,743.0,4 V6,265
Fe3Sn,743.0,3,NA
Fe3Sn2,612.0,2,13
Fe4N,760.0,3,NA
Fe4N,517.0,3,NA
Fe4N,769.0,1,375
Fe4N,761.0,2,11
Fe4N,768.0,3,NA
Fe50Ni50,785.0,4 V5,283
Fe51.4Cr48.6,9.0,2,10
Fe55.5V44.5,160.0,2,13
Fe56.5Cr43.5,47.0,2,10
Fe5B2P,628.0,2,10
Fe5C2,521.0,3,NA
Fe5Ge3,485.0,2,10
Fe5Ge3,485.0,4 V6,271
Fe5PB2,619.0,2,12
Fe5PB2,628.0,4 V6,271
Fe5PB2,639.0,2,12
Fe5Si3,373.0,4 V6,271
Fe5Si3,381.0,2,12
Fe5Si3,376.0,2,12
Fe5Si3,385.0,2,12
Fe5SiB2,784.0,4 V6,271
Fe5Sn3,600.0,4 V6,271
Fe5Sn3,583.0,2,13
Fe61.0V39.0,210.0,2,13
Fe65Ni35,503.0,4 V5,283
Fe77Ni23,876.0,2,11
Fe7Pd73Si20,28.0,2,12
Fe7Pd73Si20,28.0,2,12
Fe7S8,593.0,2,12
Fe7S8,598.0,1,376
